,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful_Raid_Per,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super_raids,Super_10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super_tackles,High 5s
151,V. Ajith,Raider,15-Jul-98,Tamil Thalaivas,5 ft 9 in,India,70.6 kg,17,107,18,70.43,186,89,55,42,57.52,91,16,107,1,4,9,0,9,0,0,0,0,0
1,K. Prapanjan,Raider,29-May-93,Bengal Warriors,6 ft 1 in,India,83.6 kg,18,101,12,79.18,197,71,41,85,50.25,74,25,99,4,3,14,2,12,0.11,0,14.28,0,0
81,Vinay,Raider,5-Jul-99,Haryana Steelers,5 ft 10 in,India,70.4 kg,19,96,14,79.14,187,66,39,82,49.19,77,15,92,6,2,16,4,12,0.21,0,25,0,0
20,Rohit Kumar,Raider,19-Jan-90,Bengaluru Bulls,6 ft,India,79 kg,17,92,14,70.86,230,69,67,94,38.26,70,18,88,2,3,17,4,13,0.23,0,23.52,0,0
62,Sachin Tanwar,Raider,19-Jul-99,Gujarat Fortunegiants,5 ft 11 in,India,72 kg,16,85,10,72.46,207,65,57,85,40.57,71,13,84,1,2,8,1,7,0.06,0,12.5,0,0
44,Mohit,"Defender, right cover",13-Feb-99,Dabang Delhi K.C.,5 ft 7 in,India,68 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Vishal Mane,"Defender, right cover",21-Sep-85,Dabang Delhi K.C.,5 ft 9 in,India,82.7 kg,20,24,3,0,0,0,0,0,0,0,0,0,0,0,79,24,55,1.2,0,30.37,0,0
46,Pratik Patil,"Defender, right corner",3-Mar-00,Dabang Delhi K.C.,5 ft 8 in,India,64.4 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Ravinder Pahal,"Defender, right corner",7-Dec-90,Dabang Delhi K.C.,5 ft 10 in,India,84.1 kg,20,57,8,100,1,0,0,1,0,0,0,0,0,0,132,57,75,2.85,0,43.18,0,3
48,Anil Kumar,"Defender, left cover",1-Jun-91,Dabang Delhi K.C.,5 ft 9 in,India,79 kg,16,30,4,100,3,0,0,3,0,0,0,0,0,0,78,29,49,1.81,0,38.46,1,0
49,Saeid Ghaffari,"Defender, left cover",3-Nov-91,Dabang Delhi K.C.,-,Iran,-,9,8,4,100,1,0,0,1,0,0,0,0,0,0,20,8,12,0.88,0,40,0,0
50,Satywan,"Defender, left cover",15-Oct-98,Dabang Delhi K.C.,5 ft 6 in,India,75.5 kg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,50,0,0
51,Sumit,"Defender, left cover",1-Jan-70,Dabang Delhi K.C.,-,India,-,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,50,0,0
52,Sombir,Defender,2-Jan-98,Dabang Delhi K.C.,-,India,-,8,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0.12,0,20,0,0
53,Balram,All Rounder,1-Jan-70,Dabang Delhi K.C.,-,India,-,2,2,2,66.66,3,1,1,1,66.66,2,0,2,0,0,0,0,0,0,0,0,0,0
54,Meraj Sheykh,All Rounder,26-May-88,Dabang Delhi K.C.,5 ft 9 in,Iran,76.2 kg,13,31,12,67.69,65,22,21,22,46.15,21,9,30,1,1,2,1,1,0.07,0,50,0,0
55,Vijay,All Rounder,1-Jul-97,Dabang Delhi K.C.,5 ft 10 in,India,73 kg,19,51,13,85.18,81,31,12,38,49.38,29,11,40,2,1,41,11,30,0.57,0,26.82,0,0
56,Rohit Gulia,All Rounder,3-Jul-98,Gujarat Fortunegiants,5 ft 8 in,India,75 kg,20,127,13,73.23,284,95,76,113,41.54,88,30,118,1,4,23,8,15,0.4,0,39.13,1,0
185,Arjun Deshwal,Raider,7-Jul-99,U Mumba,5 ft 8 in,India,-,16,78,15,75.67,148,57,36,55,51.35,65,11,76,2,2,5,2,3,0.12,0,40,0,0
61,More GB,Raider,28-Feb-93,Gujarat Fortunegiants,6 ft,India,-,17,64,9,75.71,140,35,34,71,30.71,30,13,43,0,0,34,20,14,1.17,0,61.76,1,0
209,Surender Gill,Raider,10-Oct-98,U.P. Yoddha,6 ft 3 in,India,80 kg,15,62,8,75.65,152,41,37,74,35.52,48,6,54,1,0,14,7,7,0.46,0,57.14,1,0
133,Nitin Tomar,Raider,30-Apr-95,Puneri Paltan,5 ft 9 in,India,-,13,60,11,74.4,125,49,32,44,43.2,36,18,54,0,1,25,5,20,0.38,0,24,1,0
76,Naveen,Raider,9-Oct-94,Haryana Steelers,6 ft,India,75 kg,14,58,14,71.92,114,43,32,39,49.12,40,16,56,1,1,8,2,6,0.14,0,25,0,0
77,Prashanth Kumar,Raider,4-Apr-84,Haryana Steelers,6 ft,India,82.6 kg,13,58,10,76.76,99,45,23,31,58.58,46,12,58,0,1,5,0,5,0,0,0,0,0
147,Ajay Thakur,Raider,1-May-86,Tamil Thalaivas,6 ft 1 in,India,84.3 kg,13,58,11,74.85,171,47,43,81,33.91,52,6,58,2,1,5,0,5,0,0,0,0,0
64,Amit Kharb,"Defender, right cover",30-Dec-98,Gujarat Fortunegiants,-,India,-,5,3,2,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0.4,0,37.5,1,0
65,Ankit,"Defender, right corner",5-Oct-99,Gujarat Fortunegiants,-,India,-,12,13,3,0,0,0,0,0,0,0,0,0,0,0,31,11,20,0.91,0,41.93,2,0
66,Parvesh Bhainswal,"Defender, left cover",4-Dec-97,Gujarat Fortunegiants,5 ft 10 in,India,74 kg,20,48,7,0,0,0,0,0,0,0,0,0,0,0,88,46,42,2.3,0,54.54,2,4
67,Sumit Malik,"Defender, left corner",15-Apr-99,Gujarat Fortunegiants,-,India,-,14,15,4,0,0,0,0,0,0,0,0,0,0,0,32,14,18,1,0,46.87,1,0
68,Ruturaj Shivaji,Defender,1-Apr-94,Gujarat Fortunegiants,5 ft 9 in,India,-,15,15,3,0,0,0,0,0,0,0,0,0,0,0,48,15,33,1,0,31.25,0,0
69,Sunil Kumar,Defender,5-Dec-97,Gujarat Fortunegiants,5 ft 10 in,India,70 kg,18,47,7,100,13,1,0,12,7.69,1,0,1,0,0,86,40,46,2.22,0,53.48,6,4
70,Pankaj,All Rounder,15-May-97,Gujarat Fortunegiants,5 ft 9 in,India,76 kg,9,21,6,100,1,0,0,1,0,0,0,0,0,0,44,21,23,2.33,0,47.72,0,1
71,Mohammad Shazid,All Rounder,31-Jan-89,Gujarat Fortunegiants,5 ft 9 in,Bangladesh,76 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Vinod Kumar,All Rounder,26-May-85,Gujarat Fortunegiants,5 ft 11 in,India,84 kg,9,10,3,72,25,6,7,12,24,5,1,6,0,0,9,4,5,0.44,0,44.44,0,0
73,Dharmaraj Cheralathan,"Defender, right and left corner",21-Apr-75,Haryana Steelers,5 ft 9 in,India,78.6 kg,17,44,5,88.88,18,1,2,15,16.66,1,2,3,0,0,84,37,47,2.17,0,48.8,4,1
63,Sonu Jaglan,Raider,17-Apr-00,Gujarat Fortunegiants,6 ft,India,79.6 kg,15,56,15,76.36,110,42,26,42,47.27,48,4,52,3,1,4,3,1,0.2,0,100,1,0
93,Deepak Narwal,Raider,3-Nov-95,Jaipur Pink Panthers,5 ft 10 in,India,78.5 kg,17,56,11,72.1,147,44,41,62,37.41,41,14,55,0,1,7,1,6,0.05,0,14.28,0,0
97,Nilesh Salunke,Raider,5-May-93,Jaipur Pink Panthers,5 ft 1 in,India,80 kg,17,55,15,77.34,128,40,29,59,41.4,25,28,53,1,1,7,2,5,0.11,0,28.57,0,0
186,Athul MS,Raider,12-Jul-96,U Mumba,6 ft,India,80 kg,15,51,9,65.81,117,36,40,41,43.58,35,16,51,0,0,5,0,5,0,0,0,0,0
112,Jang Kun,Raider,6-Nov-92,Patna Pirates,6 ft,Korea,83.5 kg,13,50,8,81.08,111,37,21,53,44.14,36,13,49,0,0,10,1,9,0.07,0,10,0,0
190,Rohit Baliyan,Raider,10-May-92,U Mumba,6 ft,India,83 kg,16,48,9,79.69,133,31,27,75,33.08,26,18,44,2,0,13,3,10,0.18,0,30.76,1,0
207,Rishank Devadiga,Raider,3-Feb-92,U.P. Yoddha,6 ft,India,83.7 kg,14,47,9,84.49,129,35,20,74,35.65,31,15,46,2,0,8,1,7,0.07,0,12.5,0,0
206,Monu Goyat,Raider,16-Oct-92,U.P. Yoddha,5 ft 10 in,India,80 kg,10,46,10,73.45,113,38,30,45,38.05,30,13,43,0,1,11,2,9,0.2,0,27.27,1,0
82,Ravi Kumar,"Defender, right cover",5-Oct-93,Haryana Steelers,5 ft 8 in,India,83.3 kg,17,40,6,100,11,0,0,11,0,0,0,0,0,0,82,35,47,2.05,0,48.78,5,3
83,Vikas Kale,"Defender, right cover",19-Jan-88,Haryana Steelers,5 ft 9 in,India,81.5 kg,18,38,6,66.66,3,0,1,2,0,0,0,0,0,0,98,36,62,2,0,38.77,2,2
84,Sunil,"Defender, right corner",30-Dec-99,Haryana Steelers,-,India,-,17,46,6,0,0,0,0,0,0,0,0,0,0,0,101,45,56,2.64,0,45.54,1,3
85,Parveen,"Defender, left cover",5-Sep-96,Haryana Steelers,-,India,-,6,4,4,0,0,0,0,0,0,0,0,0,0,0,15,3,12,0.5,0,26.66,1,0
86,Subhash Narwal,"Defender, left cover",14-Jun-00,Haryana Steelers,5 ft 10 in,India,75.6 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Vikram Kandola,"Defender, left cover",25-Mar-98,Haryana Steelers,5 ft 6 in,India,69 kg,2,0,0,100,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0
88,Chand Singh,"Defender, left corner",1-Jan-70,Haryana Steelers,-,India,-,9,7,3,100,1,1,0,0,100,1,0,1,0,0,16,5,11,0.55,0,37.5,1,0
89,Kuldeep Singh,Defender,15-Sep-98,Haryana Steelers,5 ft 5 in,India,73 kg,9,8,3,0,0,0,0,0,0,0,0,0,0,0,28,8,20,0.88,0,28.57,0,0
90,Tin Phonchoo,All Rounder,10-Mar-92,Haryana Steelers,5 ft 10 in,Thailand,76 kg,2,0,0,66.66,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Deepak Niwas,All Rounder,10-Jun-94,Jaipur Pink Panthers,5 ft 11 in,India,80 kg,20,158,14,80.92,304,113,58,133,48.02,120,26,146,2,7,27,10,17,0.5,0,44.44,2,0
171,Rajnish,Raider,25-Aug-98,Telugu Titans,6 ft,India,75 kg,10,45,11,77.52,89,31,20,38,48.31,27,16,43,1,2,7,2,5,0.2,0,28.57,0,0
174,Suraj Desai,Raider,19-Jul-89,Telugu Titans,6 ft,India,83 kg,12,45,18,69.9,103,35,31,37,42.71,28,16,44,1,1,7,1,6,0.08,0,14.28,0,0
5,Sukesh Hegde,Raider,2-Oct-89,Bengal Warriors,5 ft 11 in,India,81.3 kg,13,41,8,82.95,88,27,15,46,45.45,28,12,40,2,0,4,1,3,0.07,0,25,0,0
24,Sumit Singh,Raider,15-Jun-96,Bengaluru Bulls,-,India,-,15,39,7,69.56,92,27,28,37,39.13,14,22,36,0,0,11,2,9,0.13,0,27.27,1,0
113,Mohammad Esmaeil,Raider,27-Nov-91,Patna Pirates,-,Iran,-,17,38,9,75.7,107,25,26,56,28.97,19,12,31,0,0,19,5,14,0.29,0,36.84,2,0
129,Amit Kumar,Raider,27-Dec-99,Puneri Paltan,5 ft 7 in,India,70 kg,13,37,9,66.12,62,12,21,29,27.41,11,6,17,0,0,41,19,22,1.46,0,48.78,1,0
115,Monu,Raider,1-Jan-99,Patna Pirates,-,India,-,19,36,5,79.36,63,9,13,41,17.46,9,2,11,0,0,42,18,24,0.94,0,59.52,7,0
99,Pavan T.,"Defender, right cover",24-Aug-98,Jaipur Pink Panthers,5 ft 6 in,India,73.9 kg,15,12,3,0,0,0,0,0,0,0,0,0,0,0,38,10,28,0.66,0,31.57,2,0
100,Amit Hooda,"Defender, right corner",3-May-96,Jaipur Pink Panthers,5 ft 10 in,India,81.3 kg,14,37,5,75,4,0,1,3,25,0,1,1,0,0,70,33,37,2.35,0,51.42,3,2
101,Elavarasan A,"Defender, left cover",1-Jan-70,Jaipur Pink Panthers,-,India,-,3,4,3,0,0,0,0,0,0,0,0,0,0,0,10,3,7,1,0,40,1,0
102,Karamvir,"Defender, left corner",27-May-00,Jaipur Pink Panthers,5 ft 8 in,India,75.1 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Sandeep Kumar,"Defender, left corner",10-Feb-96,Jaipur Pink Panthers,5 ft 9 in,India,67.6 kg,20,68,8,66.66,3,0,1,2,33.33,0,1,1,0,0,133,60,73,3,0,50.37,7,5
104,Sunil Siddhgavali,Defender,1-Jan-96,Jaipur Pink Panthers,5 ft 7 in,India,80 kg,14,9,2,100,2,0,0,2,0,0,0,0,0,0,45,6,39,0.42,0,20,3,0
105,Dong Gyu,All Rounder,26-Jul-93,Jaipur Pink Panthers,5 ft 8 in,Korea,82 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Nitin Rawal,All Rounder,1-Jan-70,Jaipur Pink Panthers,-,India,-,15,51,8,75,96,23,24,49,33.33,19,13,32,1,0,32,15,17,1,0,59.37,4,1
107,Sachin Narwal,All Rounder,21-Nov-00,Jaipur Pink Panthers,5 ft 7 in,India,70.2 kg,12,12,4,73.52,34,7,9,18,32.35,8,3,11,1,0,6,1,5,0.08,0,16.66,0,0
108,Santhapanaselvam,All Rounder,28-Dec-95,Jaipur Pink Panthers,5 ft 7 in,India,79 kg,8,14,4,0,0,0,0,0,0,0,0,0,0,0,28,13,15,1.62,0,50,1,0
109,Vishal,All Rounder,15-Jun-96,Jaipur Pink Panthers,5 ft 6 in,India,71 kg,14,41,9,100,1,0,0,1,0,0,0,0,0,0,74,34,40,2.42,0,55.4,7,1
172,Rakesh Gowda,Raider,8-Nov-99,Telugu Titans,6 ft 3 in,India,73 kg,9,31,7,83.33,60,20,10,30,36.66,11,11,22,0,0,18,6,12,0.66,0,50,3,0
150,Shabeer Bappu,Raider,3-Aug-86,Tamil Thalaivas,5 ft 11 in,India,84.4 kg,14,29,5,87.09,93,17,12,64,23.65,13,9,22,0,0,22,6,16,0.42,0,31.81,1,0
135,Pawan Kumar,Raider,11-Oct-94,Puneri Paltan,6 ft 1 in,India,82 kg,6,25,10,79.66,59,19,12,28,42.37,17,8,25,0,1,2,0,2,0,0,0,0,0
21,Banty,Raider,10-Nov-00,Bengaluru Bulls,5 ft 9 in,India,69.3 kg,11,21,6,71.11,45,13,13,19,40,15,3,18,0,0,8,3,5,0.27,0,37.5,0,0
98,Sushil Gulia,Raider,8-Jul-99,Jaipur Pink Panthers,5 ft 8 in,India,72 kg,7,20,8,68.75,48,12,15,21,39.58,17,2,19,2,0,4,1,3,0.14,0,25,0,0
92,Ajinkya Ashok,Raider,1-Jan-70,Jaipur Pink Panthers,-,India,-,14,19,5,62.12,66,16,25,25,28.78,16,3,19,0,0,2,0,2,0,0,0,0,0
152,Vineet Sharma,Raider,10-Jan-90,Tamil Thalaivas,6 ft,India,84.4 kg,11,16,5,68.42,19,3,6,10,47.36,3,6,9,0,0,14,6,8,0.54,0,50,1,0
78,Selvamani K,Raider,28-Apr-92,Haryana Steelers,6 ft 1 in,India,76.3 kg,7,13,5,72.22,36,7,10,19,30.55,6,5,11,1,0,4,2,2,0.28,0,50,0,0
166,Amit Kumar,Raider,7-Mar-90,Telugu Titans,5 ft 11 in,India,80 kg,9,13,3,93.61,47,2,3,42,6.38,2,1,3,0,0,21,8,13,0.88,0,47.61,2,0
119,Mahendra Choudhary,"Defender, right corner",1-Jul-98,Patna Pirates,5 ft 9 in,India,75 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Neeraj Kumar,"Defender, right corner",25-Dec-95,Patna Pirates,5 ft 7 in,India,69 kg,19,51,11,75,4,0,1,3,0,0,0,0,0,0,108,47,61,2.47,0,47.22,4,3
121,Jaideep,"Defender, left corner",10-Aug-92,Patna Pirates,5 ft 7 in,India,76 kg,19,48,7,0,0,0,0,0,0,0,0,0,0,0,104,45,59,2.36,0,46.15,3,3
122,Jawahar Dagar,Defender,2-May-95,Patna Pirates,5 ft 10 in,India,-,7,5,2,100,1,0,0,1,0,0,0,0,0,0,18,5,13,0.71,0,27.77,0,0
123,Amit Kumar,All Rounder,14-Nov-98,Patna Pirates,5 ft 9 in,India,69.9 kg,3,5,4,75,8,3,2,3,62.5,3,2,5,1,0,1,0,1,0,0,0,0,0
124,Hadi Oshtorak,All Rounder,29-Jun-92,Patna Pirates,5 ft 9 in,Iran,80.6 kg,19,43,5,94.73,38,4,2,32,21.05,4,4,8,0,0,79,29,50,1.52,0,44.3,6,1
125,Ravinder,All Rounder,1-Jan-70,Patna Pirates,-,India,-,5,3,3,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0.4,0,37.5,1,0
126,Sahil Mann,All Rounder,1-Jan-70,Patna Pirates,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Vikas Jaglan,All Rounder,18-Apr-95,Patna Pirates,5 ft 8 in,India,72 kg,19,28,6,80.35,56,7,11,38,21.42,6,6,12,0,0,53,16,37,0.84,0,30.18,0,0
