,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful_Raid_Per,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super_raids,Super_10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super_tackles,High 5s
159,Sagar,"Defender, right corner",1-Jan-70,Tamil Thalaivas,-,India,-,11,13,3,0,1,0,1,0,0,0,0,0,0,0,27,12,15,1.09,0,48.14,1,0
160,Mohammad Arif,"Defender, left corner",3-May-92,Tamil Thalaivas,5 ft 10 in,Bangladesh,72 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Hemant Chauhan,All Rounder,1-Jan-70,Tamil Thalaivas,-,India,-,3,2,2,83.33,6,1,1,4,16.66,1,0,1,0,0,7,1,6,0.33,0,14.28,0,0
162,Manjeet Chhillar,All Rounder,18-Aug-86,Tamil Thalaivas,5 ft 9 in,India,80 kg,15,41,6,68.42,19,0,6,13,21.05,0,4,4,0,0,81,35,46,2.33,0,45.67,2,2
163,Ran Singh,All Rounder,2-Apr-87,Tamil Thalaivas,5 ft 11 in,India,82.7 kg,19,39,4,71.42,14,5,4,5,64.28,4,5,9,0,0,69,29,40,1.52,0,43.47,1,0
164,Victor Onyango,All Rounder,29-Jan-00,Tamil Thalaivas,6 ft,Kenya,-,3,8,5,75,8,4,2,2,75,3,3,6,0,0,5,1,4,0.33,0,40,1,0
165,Abozar Mohajermighani,Defender,19-May-89,Telugu Titans,5 ft 9 in,Iran,83 kg,18,40,5,66.66,6,0,2,4,16.66,0,1,1,0,0,87,36,51,2,0,44.82,3,1
117,Purna Singh,Raider,1-Jan-70,Patna Pirates,-,India,-,6,4,1,75,12,3,3,6,33.33,3,1,4,0,0,2,0,2,0,0,0,0,0
4,Ravindra Ramesh,Raider,16-Apr-96,Bengal Warriors,-,India,-,3,2,2,55.55,9,1,4,4,11.11,0,1,1,0,0,2,1,1,0.33,0,50,0,0
75,Arun Kumar,Raider,4-Dec-97,Haryana Steelers,6 ft,India,73 kg,2,2,2,25,4,1,3,0,50,0,2,2,0,0,0,0,0,0,0,0,0,0
153,Yashwant Bishnoi,Raider,10-Feb-00,Tamil Thalaivas,6 ft 3 in,India,76 kg,3,2,2,55.55,9,2,4,3,22.22,2,0,2,0,0,2,0,2,0,0,0,0,0
168,Kamal Singh,Raider,2-Aug-98,Telugu Titans,5 ft 9 in,India,73 kg,3,2,2,75,8,0,2,6,0,0,0,0,0,0,6,2,4,0.66,0,33.33,0,0
170,Palle Mallikarjun,Raider,15-Jun-93,Telugu Titans,-,India,-,3,2,1,50,10,2,5,3,20,2,0,2,0,0,1,0,1,0,0,0,0,0
2,Mohammad Taghi,Raider,21-Oct-91,Bengal Warriors,-,Iran,-,3,1,1,25,4,0,3,1,0,0,0,0,0,0,4,1,3,0.33,0,25,0,0
79,Vikas Chhillar,Raider,1-Jan-70,Haryana Steelers,-,India,-,1,1,1,50,2,1,1,0,50,1,0,1,0,0,0,0,0,0,0,0,0,0
22,Lal Mohar,Raider,1-Feb-91,Bengaluru Bulls,-,Nepal,79 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Aakash Dattu,"Defender, right cover",1-Jan-70,Telugu Titans,-,India,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
176,Akash Choudhary,"Defender, right corner",1-Jul-98,Telugu Titans,5 ft 8 in,India,71.6 kg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
177,Manish,"Defender, left cover",10-Apr-98,Telugu Titans,5 ft 6 in,India,73 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,C. Arun,"Defender, left corner",5-Mar-93,Telugu Titans,5 ft 5 in,India,68.6 kg,18,23,6,100,3,1,0,2,66.66,1,1,2,0,0,59,18,41,1,0,35.59,3,1
179,Krushna Madane,Defender,16-Jan-98,Telugu Titans,5 ft 6 in,India,-,9,6,2,100,10,0,0,10,0,0,0,0,0,0,18,6,12,0.66,0,33.33,0,0
180,Vishal Bhardwaj,Defender,1-Jan-97,Telugu Titans,-,India,-,18,61,8,100,14,0,0,14,0,0,0,0,0,0,105,52,53,2.88,0,58.09,9,5
